SCC,28.595085,-81.308305,CR
Water Zone,28.593818,-81.3044,WZ
Boys Bathroom 113,28.593818,-81.304444,BR
Meeting 115,28.593858,-81.304514,CR
Meeting 116,28.59389,-81.304514,CR
Meeting 117,28.593919,-81.304514,CR
Meeting 118,28.593945,-81.304514,CR
Meeting 119,28.593974,-81.304508,CR
